Date and time,Mean Discharge (ML/D),Min Discharge (ML/D),Max Discharge (ML/D)
1/12/2010 8:00,133.634,4.266,2108.019
1/01/2011 8:00,96.567,1.57,3734.098
1/02/2011 8:00,35.629,1.026,1104.604
1/03/2011 8:00,2.407,0.43,12.562
1/04/2011 8:00,146.786,0.227,8572.32
1/05/2011 8:00,126.92,9.879,3725.315
1/06/2011 8:00,84.47,2.415,2796.746
1/07/2011 8:00,840.945,13.474,18961.532
1/08/2011 8:00,238.124,4.719,4153.72
1/09/2011 8:00,54.57,6.742,924.67
1/10/2011 8:00,24.454,1.737,732.052
1/11/2011 8:00,94.695,3.121,3153.582
1/12/2011 8:00,258.037,1.36,4221.819
1/01/2012 8:00,60.709,6.742,1985.891
1/02/2012 8:00,86.82,0.698,4715.161
1/03/2012 8:00,774.789,12.032,10871.606
1/04/2012 8:00,10.485,4.355,35.086
1/05/2012 8:00,8.327,1.912,41.098
1/06/2012 8:00,1.864,0.524,6.31
1/07/2012 8:00,37.266,0.736,210.727
1/08/2012 8:00,30.842,5.789,248.397
1/09/2012 8:00,53.833,2.094,808.441
1/10/2012 8:00,0.824,0.273,2.415
1/11/2012 8:00,0.324,0.182,0.491
1/12/2012 8:00,0.187,0.136,0.242
1/01/2013 8:00,0.615,0,9.232
1/02/2013 8:00,295.543,0.167,10935.964
1/03/2013 8:00,720.292,3.197,17564.822
1/04/2013 8:00,694.854,3.273,16119.251
1/05/2013 8:00,7.308,2.618,56.597
1/06/2013 8:00,43.345,0.698,1041.102
1/07/2013 8:00,168.43,5.29,2765.18
1/08/2013 8:00,41.523,3.588,673.485
1/09/2013 8:00,1.462,0.46,3.588
1/10/2013 8:00,0.316,0.197,0.46
1/11/2013 8:00,0.101,0,0.197
1/12/2013 8:00,17.008,0,255.898
1/01/2014 8:00,3.509,0.227,47.328
1/02/2014 8:00,0.045,0,0.273
1/03/2014 8:00,0,0,0.03
1/04/2014 8:00,0.49,0.03,1.071
1/05/2014 8:00,8.721,0.106,2698.195
1/06/2014 8:00,0.515,0.136,2.157
1/07/2014 8:00,0.235,0.03,0.46
1/08/2014 8:00,0.001,0,0.03
1/09/2014 8:00,32.638,0,918.293
1/10/2014 8:00,7.14,0.318,42.864
1/11/2014 8:00,0.278,0,0.591
1/12/2014 8:00,0,0,0.045
1/01/2015 8:00,7.427,0,78.486
1/02/2015 8:00,1.099,0.197,11.236
1/03/2015 8:00,0.351,0.136,1.309
1/04/2015 8:00,159.574,0.288,10547.062
1/05/2015 8:00,103.405,3.427,1781.672
1/06/2015 8:00,338.064,9.232,5963.328
1/07/2015 8:00,9.667,4.445,44.307
1/08/2015 8:00,1.652,0.775,4.445
1/09/2015 8:00,0.55,0.288,1.26
1/10/2015 8:00,35.952,0.273,431.598
1/11/2015 8:00,4.938,0.43,51.421
1/12/2015 8:00,48.65,1.309,1065.5
1/01/2016 8:00,48.418,0.491,3941.496
1/02/2016 8:00,446.397,4.266,11970.578
1/03/2016 8:00,21.663,1.51,725.961
1/04/2016 8:00,35.524,0.939,2907.897
1/05/2016 8:00,4.693,1.261,33.253
1/06/2016 8:00,0.81,0.419,1.51
1/07/2016 8:00,221.583,0.399,8515.052
1/08/2016 8:00,14.83,3.588,230.013
1/09/2016 8:00,101.23,4.256,2710.829
1/10/2016 8:00,8.668,1.914,56.764
1/11/2016 8:00,1.243,0.601,2.374
1/12/2016 8:00,1.663,0.462,10.037
1/01/2017 8:00,0.378,0.003,0.677
1/02/2017 8:00,0.185,0,0.601
1/03/2017 8:00,0.002,0,0.249
1/04/2017 8:00,589.009,0.249,8507.144
1/05/2017 8:00,93.962,6.496,493.075
1/06/2017 8:00,4.679,1.51,48.142
1/07/2017 8:00,33.564,1.147,251.336
1/08/2017 8:00,4.145,1.261,19.961
1/09/2017 8:00,0.83,0.151,1.641
1/10/2017 8:00,0.056,0,0.249
1/11/2017 8:00,2.523,0,145.976
1/12/2017 8:00,3.484,0.34,28.136
1/01/2018 8:00,1.238,0.003,73.2
1/02/2018 8:00,0.84,0.285,10.897
1/03/2018 8:00,0.253,0,0.715
1/04/2018 8:00,522.136,0.626,18229.606
1/05/2018 8:00,3.777,0.939,15.163
1/06/2018 8:00,0.708,0.462,1.382
1/07/2018 8:00,18.454,0.507,238.648
1/08/2018 8:00,1.867,0.419,5.945
1/09/2018 8:00,0.237,0.06,0.626
1/10/2018 8:00,0.46,0.151,1.445
1/11/2018 8:00,35.526,0.168,283.506
1/12/2018 8:00,0.81,0.34,3.181
1/01/2019 8:00,1.845,0.06,131.751
1/02/2019 8:00,0.049,0,0.206
1/03/2019 8:00,59.958,0,5495.32
1/04/2019 8:00,0.447,0.249,0.757
1/05/2019 8:00,0.462,0.151,1.843
1/06/2019 8:00,0.132,0,0.399
1/07/2019 8:00,0.023,0,0.081
1/08/2019 8:00,0.004,0,0.023
