lat (degrees_north),lon (degrees_east),time (UTC),old SST,new SST
-32.23,152.61,2018-04-15T21:20:00Z,295.22906,294.67722
-32.23,152.61,2018-05-16T09:20:00Z,294.37637,292.35654
-32.23,152.61,2018-06-15T21:20:00Z,291.13602,291.672
-32.23,152.61,2018-07-16T09:20:00Z,291.51556,290.65247
-32.23,152.61,2018-08-16T09:20:00Z,290.37357,290.69476
-32.23,152.61,2018-09-15T21:20:00Z,290.49927,293.08087
-32.23,152.61,2018-10-16T09:20:00Z,292.91702,294.31577
-32.23,152.61,2018-11-15T21:20:00Z,292.3032,295.20584
-32.23,152.61,2018-12-16T09:20:00Z,293.98367,292.72046
-32.23,152.61,2019-02-14T21:20:00Z,293.66513,296.3058
-32.23,152.61,2019-03-16T09:20:00Z,296.3176,296.6082
-32.23,152.61,2019-04-15T21:20:00Z,296.70044,296.95078
-32.23,152.61,2019-05-16T09:20:00Z,295.50616,295.57587
-32.23,152.61,2019-06-15T21:20:00Z,293.24228,293.53534
-32.23,152.61,2019-08-16T09:20:00Z,291.1584,293.1828
-32.23,152.61,2019-09-15T21:20:00Z,291.3248,291.20474
-32.23,152.61,2019-10-16T09:20:00Z,291.84616,291.40613
-32.23,152.61,2019-11-15T21:20:00Z,,291.91147
-32.23,152.61,2019-12-16T09:20:00Z,,293.44617
-32.23,152.61,2020-01-16T09:20:00Z,,294.54245
-32.23,152.61,2020-02-15T09:20:00Z,,297.4693
-32.23,152.61,2020-03-16T09:20:00Z,,295.76123
-32.23,152.61,2020-04-15T21:20:00Z,,295.4078
-32.23,152.61,2020-05-16T09:20:00Z,,295.81473
-32.23,152.61,2020-07-16T09:20:00Z,,294.14566
-32.23,152.61,2020-08-16T09:20:00Z,,292.6986
-32.23,152.61,2020-09-15T21:20:00Z,,291.99396
-32.23,152.61,2020-10-16T09:20:00Z,,291.87302
-32.23,152.61,2020-11-15T21:20:00Z,,291.65564
-32.23,152.61,2020-12-16T09:20:00Z,,294.14584
-32.23,152.61,2021-01-16T09:20:00Z,,294.30832
-32.23,152.61,2021-02-14T21:20:00Z,,297.39923
-32.23,152.61,2021-03-16T09:20:00Z,,298.77853
-32.23,152.61,2021-04-15T21:20:00Z,,298.70755
-32.23,152.61,2021-05-16T09:20:00Z,,296.0824
-32.23,152.61,2021-07-16T09:20:00Z,,294.38852
-32.23,152.61,2021-08-16T09:20:00Z,,291.69888
-32.23,152.61,2021-09-15T21:20:00Z,,291.0369
-32.23,152.61,2021-10-16T09:20:00Z,,291.91483
-32.23,152.61,2021-11-15T21:20:00Z,,291.47696
-32.23,152.61,2021-12-16T09:20:00Z,,293.42578
-32.23,152.61,2022-01-16T09:20:00Z,,295.93552
-32.23,152.61,2023-02-16T09:20:00Z,,293.1286
